codigo,nivel,codigo_padre,descripcion,unidad_medida,plantilla,activa,origen
25001001,8,25001000,EXC A MANO EN COMUN,,URBANISMO_INTERNO,true,MAESTRO
25001001.1001,10,25001001,"ALC PLU EXC COMUN <2,5m",M3,URBANISMO_INTERNO,true,MAESTRO
25001001.1002,10,25001001,"ALC PLU EXC COMUN >2,5m",M3,URBANISMO_INTERNO,true,MAESTRO
25001001.1003,10,25001001,"ALC SAN EXC COMUN <2,5m",M3,URBANISMO_INTERNO,true,MAESTRO
25001001.1004,10,25001001,"ALC SAN EXC COMUN >2,5m",M3,URBANISMO_INTERNO,true,MAESTRO
25001003,8,25001000,EXCAVACION MECANICA,,URBANISMO_INTERNO,true,MAESTRO
25001003.1002,10,25001003,ALCAN ALQ RETRO-LLANTAS,Hra,URBANISMO_INTERNO,true,MAESTRO
25001003.1003,10,25001003,ALCAN TRANSPORTE MAQUIN.,UN,URBANISMO_INTERNO,true,MAESTRO
25001004,8,25001000,REPLANTEO,,URBANISMO_INTERNO,true,MAESTRO
25001004.1003,10,25001004,ALCAN SAN REPLANTEO ZANJA,M2,URBANISMO_INTERNO,true,MAESTRO
25001004.1004,10,25001004,ALCAN LLUV REPLANTEO ZANJA,M2,URBANISMO_INTERNO,true,MAESTRO
25001005,8,25001000,RELLENOS,,URBANISMO_INTERNO,true,MAESTRO
25001005.1003,10,25001005,ALCAN LLUV RELLENO RANA,M3,URBANISMO_INTERNO,true,MAESTRO
25001005.1004,10,25001005,ALCAN SAN RELLENO RANA,M3,URBANISMO_INTERNO,true,MAESTRO
25001006,8,25001000,RELLENOS ARENA,,URBANISMO_INTERNO,true,MAESTRO
25001006.1001,10,25001006,ALCAN SAN RELLENO ARENA,M3,URBANISMO_INTERNO,true,MAESTRO
25001006.1002,10,25001006,ALCAN LLUV RELLENO ARENA,M3,URBANISMO_INTERNO,true,MAESTRO
25001007,8,25001000,RETIRO DE TIERRA,,URBANISMO_INTERNO,true,MAESTRO
25001007.1001,10,25001007,ALCAN SAN RETIRO EXC,M3,URBANISMO_INTERNO,true,MAESTRO
25001007.1002,10,25001007,ALCAN LLUV RETIRO EXC,M3,URBANISMO_INTERNO,true,MAESTRO
25001008,8,25001000,ATRAQUE CONCRETO,,URBANISMO_INTERNO,true,MAESTRO
25001008.1001,10,25001008,ALCAN SAN ATRAQUE TUBERIA,M3,URBANISMO_INTERNO,true,MAESTRO
25001008.1002,10,25001008,ALCAN LLUV ATRAQUE TUBERIA,M3,URBANISMO_INTERNO,true,MAESTRO
25001010,8,25001000,FILTRO,,URBANISMO_INTERNO,true,MAESTRO
25001010.1001,10,25001010,ALC FILTRO,ML,URBANISMO_INTERNO,true,MAESTRO
25004000,5,25000000,TUBERIAS PVC,,URBANISMO_INTERNO,true,MAESTRO
25004001,8,25004000,TUBERIAS PVC,,URBANISMO_INTERNO,true,MAESTRO
25004001.1001,10,25004001,ALC SAN RED TUB NOVAF 110mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1002,10,25004001,ALC SAN RED TUB NOVAF 160mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1003,10,25004001,ALC SAN RED TUB NOVAF 200mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1004,10,25004001,ALC SAN RED TUB NOVAF 250mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1006,10,25004001,ALC SAN RED TUB NOVAF 315mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1007,10,25004001,ALC SAN RED TUB NOVAF 355mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1008,10,25004001,ALC SAN RED TUB NOVAF 400mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1009,10,25004001,ALC SAN RED TUB NOVAF 450mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1010,10,25004001,ALC SAN RED TUB NOVAF 500mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1011,10,25004001,ALC SAN RED TUB NOVAF 595mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1012,10,25004001,ALC SAN RED TUB NOVAF 670mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1013,10,25004001,ALC PLU RED TUB NOVAF 110mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1014,10,25004001,ALC PLU RED TUB NOVAF 160mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1015,10,25004001,ALC PLU RED TUB NOVAF 200mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1016,10,25004001,ALC PLU RED TUB NOVAF 250mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1017,10,25004001,ALC PLU RED TUB NOVAF 315mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1018,10,25004001,ALC PLU RED TUB NOVAF 355mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1019,10,25004001,ALC PLU RED TUB NOVAF 400mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1020,10,25004001,ALC PLU RED TUB NOVAF 450mm,ML,URBANISMO_INTERNO,true,MAESTRO
